titre,prix,surface,pieces,adresse,type_bien,prix au m²
1 chambre appartement de 11m² à Paris,412,11,1,"4 Square Auguste Renoir, 75014 Paris, France",appartement,37
1 chambre appartement de 31m² à Paris,690,31,1,"92110 Clichy, France",appartement,22
2 chambres appartement de 20m² à Paris,750,20,2,"Paris, France",appartement,38
1 chambre appartement de 26m² à Paris,932,26,1,"Paris, France",appartement,36
1 chambre appartement de 16m² à Paris,585,16,1,"25 Rue du Chemin Vert, 75011 Paris, France",appartement,37
3 chambres appartement de 78m² à Paris,570,78,3,"10 Rue du Cloître Notre-Dame, 75004 Paris, France",appartement,7
1 chambre studio de 8m² à Paris,477,8,1,"75013 Paris, France",studio,60
1 chambre studio de 10m² à Paris,100,10,1,"Paris, France",studio,10
5 chambres appartement de 81m² à Paris,665,81,5,"Route d'Arras, 62320 Bois-Bernard, France",appartement,8
1 chambre appartement de 18m² à Paris,350,18,1,"62110 Hénin-Beaumont, France",appartement,19
5 chambres maison de 125m² à Paris,750,125,5,"Rue Marie de France, 75001 Paris, France",maison,6
1 chambre appartement de 12m² à Paris,600,12,1,"16 Avenue de Wagram, 75008 Paris, France",appartement,50
1 chambre appartement de 19m² à Paris,900,19,1,"75017 Paris, France",appartement,47
2 chambres appartement de 40m² à Paris,1120,40,2,"Paris, France",appartement,28
1 chambre appartement de 10m² à Paris,583,10,1,"75005 Paris, France",appartement,58
1 chambre appartement de 10m² à Paris,500,10,1,"14 Boulevard d'Inkermann, 92200 Neuilly-sur-Seine, France",appartement,50
1 chambre appartement de 21m² à Paris,730,21,1,"6 Rue Lamarck, 75018 Paris, France",appartement,35
1 chambre appartement de 20m² à Paris,600,20,1,"75000 Paris, France",appartement,30
1 chambre studio de 19m² à Paris,710,19,1,"32 Boulevard de l'Hôpital, 75005 Paris, France",studio,37
2 chambres appartement de 28m² à Paris,970,28,2,"75013 Paris, France",appartement,35
2 chambres appartement de 36m² à Paris,876,36,2,"75020 Paris, France",appartement,24
1 chambre appartement de 8m² à Paris,484,8,1,"75019 Paris, France",appartement,60
5 chambres appartement de 202m² à Paris,1100,202,5,"10 Rue du Cloître Notre-Dame, 75004 Paris, France",appartement,5
4 chambres appartement de 77m² à Paris,1300,77,4,"Victor Hugo, Avenue Victor Hugo, 75116 Paris, France",appartement,17
1 chambre appartement de 15m² à Paris,140,15,1,"Expectra Search, Rue Vernet, 75008 Paris, France",appartement,9
2 chambres appartement de 30m² à Paris,1240,30,2,"Place Monge, Rue Larrey, 75005 Paris, France",appartement,41
2 chambres appartement de 62m² à Paris,1650,62,2,"97 Boulevard Voltaire, 75011 Paris, France",appartement,27
1 chambre studio de 23m² à Paris,1050,23,1,"2 Rue Coëtlogon, 75006 Paris, France",studio,46
3 chambres appartement de 72m² à Paris,2040,72,3,"Paris, France",appartement,28
2 chambres appartement de 28m² à Paris,1200,28,2,"France Télévisions, 7 Esplanade Henri de France, 75015 Paris, France",appartement,43
1 chambre appartement de 27m² à Paris,345,27,1,"Douai, Nord, France",appartement,13
4 chambres appartement de 90m² à Paris,800,90,4,"62210 Avion, France",appartement,9
2 chambres appartement de 50m² à Paris,1490,50,2,"26 Rue Vineuse, 75116 Paris, France",appartement,30
5 chambres appartement de 1m² à Paris,700,1,5,"62110 Hénin-Beaumont, France",appartement,700
5 chambres appartement de 90m² à Paris,700,90,5,"62970 Courcelles-lès-Lens, France",appartement,8
1 chambre appartement de 30m² à Paris,1200,30,1,"52 Quai de Jemmapes, 75010 Paris, France",appartement,40
2 chambres appartement de 30m² à Paris,1500,30,2,"68 Rue d'Assas, 75006 Paris, France",appartement,50
1 chambre appartement de 15m² à Paris,160,15,1,"29 Rue des Longues Raies, 75013 Paris, France",appartement,11
1 chambre studio de 8m² à Paris,497,8,1,"75012 Paris, France",studio,62
3 chambres appartement de 66m² à Paris,2000,66,3,"212 Rue de l'Université, 75007 Paris, France",appartement,30
1 chambre studio de 20m² à Paris,860,20,1,"6 Rue de l'Essai, 75005 Paris, France",studio,43
3 chambres maison de 73m² à Paris,800,73,3,"10 Rue du Cloître Notre-Dame, 75004 Paris, France",maison,11
2 chambres appartement de 26m² à Paris,1257,26,2,"35 Rue Blanche, 75009 Paris, France",appartement,48
1 chambre appartement de 15m² à Paris,550,15,1,"75000 Paris, France",appartement,37
1 chambre appartement de 40m² à Paris,1010,40,1,"75010 Paris, France",appartement,25
1 chambre appartement de 1m² à Paris,320,1,1,"Lens, Pas-de-Calais, France",appartement,320
1 chambre appartement de 1m² à Paris,350,1,1,"62110 Hénin-Beaumont, France",appartement,350
1 chambre de 60m² à Paris,520,60,1,"72 Rue Myrha, 75018 Paris, France",chambre,9
3 chambres appartement de 54m² à Paris,480,54,3,"62210 Avion, France",appartement,9
1 chambre appartement de 20m² à Paris,950,20,1,"22 Quai du Louvre, 75001 Paris, France",appartement,48
2 chambres appartement de 45m² à Paris,470,45,2,"Lens, Pas-de-Calais, France",appartement,10
1 chambre studio de 20m² à Paris,1200,20,1,"10 Rue Pierre le Grand, 75008 Paris, France",studio,60
1 chambre appartement de 9m² à Paris,600,9,1,"73 Boulevard Exelmans, 75016 Paris, France",appartement,67
2 chambres appartement de 29m² à Paris,876,29,2,"75017 Paris, France",appartement,30
2 chambres appartement de 58m² à Paris,1700,58,2,"Paris, France",appartement,29
2 chambres appartement de 17m² à Paris,785,17,2,"167 Rue du Château des Rentiers, 75013 Paris, France",appartement,46
1 chambre appartement de 24m² à Paris,770,24,1,"Commissariat de police de Paris, 250 Rue de Vaugirard, 75015 Paris, France",appartement,32
1 chambre studio de 15m² à Paris,750,15,1,"61 Rue Haxo, 75020 Paris, France",studio,50
1 chambre studio de 18m² à Paris,760,18,1,"2 Rue Scipion, 75005 Paris, France",studio,42
1 chambre appartement de 25m² à Paris,570,25,1,"Paris, France",appartement,23
1 chambre appartement de 18m² à Paris,613,18,1,"14 Rue des Meuniers, 75012 Paris, France",appartement,34
3 chambres appartement de 70m² à Paris,2285,70,3,"Paris, France",appartement,33
2 chambres appartement de 42m² à Paris,1220,42,2,"11 Rue du Jura, 75013 Paris, France",appartement,29
1 chambre appartement de 23m² à Paris,910,23,1,"Paris, France",appartement,40
1 chambre appartement de 9m² à Paris,630,9,1,"75000 Paris, France",appartement,70
1 chambre de 135m² à Paris,865,135,1,"Rue Fernand Pelloutier, 75017 Paris, France",chambre,6
2 chambres appartement de 26m² à Paris,850,26,2,"16 Rue de la Fontaine du But, 75018 Paris, France",appartement,33
4 chambres appartement de 70m² à Paris,2150,70,4,"75116 Paris, France",appartement,31
1 chambre appartement de 90m² à Paris,730,90,1,"62970 Courcelles-lès-Lens, France",appartement,8
2 chambres appartement de 45m² à Paris,400,45,2,"62110 Hénin-Beaumont, France",appartement,9
3 chambres appartement de 49m² à Paris,1436,49,3,"11 Rue Le Brun, 75013 Paris, France",appartement,29
1 chambre appartement de 25m² à Paris,650,25,1,"94170 Le Perreux-sur-Marne, France",appartement,26
1 chambre appartement de 34m² à Paris,848,34,1,"93100 Montreuil, France",appartement,25
1 chambre studio de 12m² à Paris,920,12,1,"75 Rue de la Tour, 75116 Paris, France",studio,77
3 chambres appartement de 75m² à Paris,1200,75,3,"75020 Paris, France",appartement,16
1 chambre de 100m² à Paris,820,100,1,"67 bis Rue de la Chapelle, 75018 Paris, France",chambre,8
3 chambres appartement de 52m² à Paris,485,52,3,"Lens, Pas-de-Calais, France",appartement,9
3 chambres appartement de 60m² à Paris,550,60,3,"62110 Hénin-Beaumont, France",appartement,9
1 chambre appartement de 25m² à Paris,370,25,1,"62430 Sallaumines, France",appartement,15
5 chambres appartement de 95m² à Paris,795,95,5,"62410 Hulluch, France",appartement,8
1 chambre studio de 13m² à Lyon,310,13,1,"7 Rue Claude Boyer, 69007 Lyon, France",studio,24
1 chambre appartement de 25m² à Lyon,580,25,1,"8 Rue Henri IV, 69002 Lyon, France",appartement,23
1 chambre appartement de 15m² à Lyon,360,15,1,"Temple de la Lanterne, Rue Lanterne, 69001 Lyon, France",appartement,24
3 chambres appartement de 48m² à Lyon,775,48,3,"8 Avenue des Frères Lumière, 69008 Lyon, France",appartement,16
1 chambre de 17m² à Lyon,500,17,1,"Lyon, Métropole de Lyon, France",chambre,29
1 chambre appartement de 18m² à Lyon,300,18,1,"Temple de la Lanterne, Rue Lanterne, 69001 Lyon, France",appartement,17
1 chambre studio de 31m² à Lyon,890,31,1,"73 Rue de Sèze, 69006 Lyon, France",studio,29
1 chambre appartement de 18m² à Lyon,640,18,1,"Lyon, Métropole de Lyon, France",appartement,36
1 chambre appartement de 17m² à Lyon,398,17,1,"47 Rue Domer, 69007 Lyon, France",appartement,23
3 chambres appartement de 68m² à Lyon,2400,68,3,"6 Rue Victor Hugo, 69002 Lyon, France",appartement,35
1 chambre appartement de 18m² à Lyon,429,18,1,"69008 Lyon, France",appartement,24
1 chambre de 16m² à Lyon,395,16,1,"62 Avenue Ferdinand Buisson, 69500 Bron, France",chambre,25
2 chambres appartement de 38m² à Lyon,1000,38,2,"Lyon, Métropole de Lyon, France",appartement,26
1 chambre appartement de 28m² à Lyon,517,28,1,"Poste Lyon Montchat, 3 Cours Eugénie, 69003 Lyon, France",appartement,18
3 chambres appartement de 56m² à Lyon,954,56,3,"Lyon 5e Arrondissement, Rhône, France",appartement,17
1 chambre studio de 26m² à Lyon,670,26,1,"21 Rue d'Anvers, 69007 Lyon, France",studio,26
1 chambre appartement de 30m² à Lyon,545,30,1,"Poste Lyon Montchat, 3 Cours Eugénie, 69003 Lyon, France",appartement,18
3 chambres appartement de 69m² à Lyon,900,69,3,"2 Place Sathonay, 69001 Lyon, France",appartement,13
2 chambres appartement de 3612m² à Lyon,655,3612,2,"24 Quai Claude Bernard, 69007 Lyon, France",appartement,0
1 chambre appartement de 76m² à Lyon,623,76,1,"Appel Médical, Avenue Félix Faure, 69003 Lyon, France",appartement,8
1 chambre appartement de 18m² à Lyon,580,18,1,"7 Place Bellecour, 69002 Lyon, France",appartement,32
3 chambres appartement de 62m² à Lyon,904,62,3,"69009 Lyon, France",appartement,15
3 chambres appartement de 60m² à Lyon,924,60,3,"69009 Lyon, France",appartement,15
2 chambres appartement de 57m² à Lyon,910,57,2,"Lyon 5e Arrondissement, Rhône, France",appartement,16
1 chambre appartement de 145m² à Lyon,402,145,1,"74 Rue Challemel-Lacour, 69007 Lyon, France",appartement,3
1 chambre de 80m² à Lyon,530,80,1,"18 Rue Paul Bert, 69003 Lyon, France",chambre,7
1 chambre studio de 24m² à Lyon,745,24,1,"134 Rue Sully, 69006 Lyon, France",studio,31
3 chambres appartement de 6462m² à Lyon,890,6462,3,"16 Rue Pasteur, 69007 Lyon, France",appartement,0
1 chambre appartement de 38m² à Lyon,780,38,1,"178 Rue Garibaldi, 69003 Lyon, France",appartement,21
1 chambre appartement de 53m² à Lyon,950,53,1,"54 Rue Jacquard, 69004 Lyon, France",appartement,18
1 chambre appartement de 32m² à Lyon,870,32,1,"95 Rue Baraban, 69003 Lyon, France",appartement,27
4 chambres appartement de 68m² à Lyon,720,68,4,"Poste Lyon Montchat, 3 Cours Eugénie, 69003 Lyon, France",appartement,11
5 chambres appartement de 82m² à Lyon,545,82,5,"Lyon, Métropole de Lyon, France",appartement,7
4 chambres maison de 108m² à Lyon,1750,108,4,"4 Rue Paul Bourde, 69003 Lyon, France",maison,16
1 chambre studio de 14m² à Lyon,700,14,1,"14 Cours Charlemagne, 69002 Lyon, France",studio,50
1 chambre studio de 34m² à Lyon,693,34,1,"15 Avenue Jean-François Raclet, 69007 Lyon, France",studio,20
4 chambres appartement de 62m² à Lyon,890,62,4,"108 Rue du Professeur Beauvisage, 69008 Lyon, France",appartement,14
1 chambre studio de 20m² à Lyon,735,20,1,"3 Rue Denuzière, 69002 Lyon, France",studio,37
2 chambres appartement de 4004m² à Lyon,710,4004,2,"16 Grande Rue de la Croix-Rousse, 69004 Lyon, France",appartement,0
1 chambre de 82m² à Lyon,545,82,1,"2 Avenue Paul Santy, 69008 Lyon, France",chambre,7
2 chambres appartement de 62m² à Lyon,888,62,2,"Lyon, Métropole de Lyon, France",appartement,14
1 chambre studio de 32m² à Lyon,715,32,1,"7 Rue Marc-Antoine Petit, 69002 Lyon, France",studio,22
1 chambre appartement de 16m² à Lyon,370,16,1,"26 Quai Arloing, 69009 Lyon, France",appartement,23
4 chambres appartement de 88m² à Lyon,1200,88,4,"80 Rue Benoist Mary, 69005 Lyon, France",appartement,14
1 chambre appartement de 40m² à Lyon,720,40,1,"Lyon, Métropole de Lyon, France",appartement,18
1 chambre appartement de 47m² à Lyon,1090,47,1,"125 Avenue Berthelot, 69007 Lyon, France",appartement,23
1 chambre de 90m² à Lyon,435,90,1,"23 Rue de Brest, 69002 Lyon, France",chambre,5
5 chambres appartement de 82m² à Lyon,545,82,5,"Lyon, Métropole de Lyon, France",appartement,7
2 chambres appartement de 37m² à Lyon,550,37,2,"Poste Lyon Montchat, 3 Cours Eugénie, 69003 Lyon, France",appartement,15
2 chambres appartement de 62m² à Lyon,876,62,2,"110 Rue Garibaldi, 69006 Lyon, France",appartement,14
1 chambre appartement de 27m² à Lyon,505,27,1,"Poste Lyon Montchat, 3 Cours Eugénie, 69003 Lyon, France",appartement,19
7 chambres appartement de 239m² à Lyon,2915,239,7,"Lyon, Métropole de Lyon, France",appartement,12
1 chambre appartement de 26m² à Lyon,540,26,1,"Anne-sophie Dachy - Ostéopathe Lyon 9, 6 Passage du Béal, 69009 Lyon, France",appartement,21
1 chambre appartement de 23m² à Lyon,515,23,1,"Milpa, 2 Rue de Belfort, 69004 Lyon, France",appartement,22
2 chambres appartement de 49m² à Lyon,785,49,2,"9 Rue Saint-Eusèbe, 69003 Lyon, France",appartement,16
2 chambres appartement de 29m² à Lyon,795,29,2,"69 Rue Vendôme, 69006 Lyon, France",appartement,27
1 chambre de 62m² à Lyon,700,62,1,"19 Rue Desaix, 69003 Lyon, France",chambre,11
1 chambre appartement de 32m² à Lyon,590,32,1,"Anne-sophie Dachy - Ostéopathe Lyon 9, 6 Passage du Béal, 69009 Lyon, France",appartement,18
2 chambres appartement de 49m² à Lyon,957,49,2,"3 Rue des Alouettes, 69008 Lyon, France",appartement,20
2 chambres appartement de 29m² à Lyon,681,29,2,"19 Rue Pernon, 69004 Lyon, France",appartement,23
1 chambre appartement de 20m² à Lyon,520,20,1,"Temple de la Lanterne, Rue Lanterne, 69001 Lyon, France",appartement,26
2 chambres appartement de 37m² à Lyon,600,37,2,"2 Allée de Lodz, 69007 Lyon, France",appartement,16
1 chambre appartement de 26m² à Lyon,462,26,1,"223 Rue de Créqui, 69003 Lyon, France",appartement,18
2 chambres appartement de 40m² à Lyon,710,40,2,"Orpi Agence Du Boulevard Immo Lyon 4Eme, Boulevard de la Croix-Rousse, 69004 Lyon, France",appartement,18
2 chambres appartement de 54m² à Lyon,1000,54,2,"Lyon 9e Arrondissement, Rhône, France",appartement,19
4 chambres appartement de 91m² à Lyon,1346,91,4,"31 Rue du Maréchal de Lattre de Tassigny, 69009 Lyon, France",appartement,15
5 chambres appartement de 118m² à Lyon,2595,118,5,"2 Place des Cordeliers, 69002 Lyon, France",appartement,22
2 chambres appartement de 36m² à Lyon,525,36,2,"Poste Lyon Montchat, 3 Cours Eugénie, 69003 Lyon, France",appartement,15
1 chambre appartement de 42m² à Lyon,985,42,1,"21 Rue Barrier, 69006 Lyon, France",appartement,23
1 chambre de 80m² à Lyon,675,80,1,"216 Rue de Créqui, 69003 Lyon, France",chambre,8
2 chambres appartement de 828m² à Lyon,1900,828,2,"4 Rue Rabelais, 69003 Lyon, France",appartement,2
3 chambres appartement de 70m² à Lyon,1050,70,3,"Lyon, Métropole de Lyon, France",appartement,15
1 chambre de 90m² à Lyon,400,90,1,"17 Rue de Brest, 69002 Lyon, France",chambre,4
1 chambre de 80m² à Lyon,620,80,1,"Lyon, Métropole de Lyon, France",chambre,8
1 chambre appartement de 35m² à Lyon,795,35,1,"12 Montée du Gourguillon, 69005 Lyon, France",appartement,23
4 chambres appartement de 100m² à Lyon,2190,100,4,"8 Place Gailleton, 69002 Lyon, France",appartement,22
1 chambre studio de 3798m² à Lyon,755,3798,1,"36 Rue Pasteur, 69007 Lyon, France",studio,0
3 chambres appartement de 60m² à Lyon,1197,60,3,"69008 Lyon, France",appartement,20
3 chambres maison de 110m² à Lyon,2350,110,3,"3 ter Rue Saint-Gervais, 69008 Lyon, France",maison,21
1 chambre appartement de 18m² à Lyon,500,18,1,"Temple de la Lanterne, Rue Lanterne, 69001 Lyon, France",appartement,28
4 chambres appartement de 86m² à Marseille,850,86,4,"Marseille, Bouches-du-Rhône, France",appartement,10
1 chambre appartement de 38m² à Marseille,508,38,1,"13010 Marseille, France",appartement,13
2 chambres appartement de 39m² à Marseille,740,39,2,"68 Quai du Port, 13002 Marseille, France",appartement,19
1 chambre studio de 25m² à Marseille,650,25,1,"16 Rue Aldebert, 13006 Marseille, France",studio,26
2 chambres appartement de 22m² à Marseille,580,22,2,"123 Avenue des Chartreux, 13004 Marseille, France",appartement,26
3 chambres appartement de 61m² à Marseille,773,61,3,"Marseille, Bouches-du-Rhône, France",appartement,13
3 chambres appartement de 82m² à Marseille,885,82,3,"Impasse des Bonnets, 13013 Marseille, France",appartement,11
2 chambres appartement de 36m² à Marseille,680,36,2,"Expectra, 165 Avenue du Prado, 13008 Marseille, France",appartement,19
4 chambres appartement de 81m² à Marseille,580,81,4,"Marseille, Bouches-du-Rhône, France",appartement,7
1 chambre appartement de 13m² à Marseille,424,13,1,"13002 Marseille, France",appartement,33
3 chambres maison de 57m² à Marseille,420,57,3,"Marseille, Bouches-du-Rhône, France",maison,7
3 chambres appartement de 110m² à Marseille,695,110,3,"Marseille, Bouches-du-Rhône, France",appartement,6
5 chambres appartement de 96m² à Marseille,600,96,5,"Marseille, Bouches-du-Rhône, France",appartement,6
2 chambres maison de 61m² à Marseille,776,61,2,"Avenue des olives, 13013 Marseille, France",maison,13
1 chambre appartement de 21m² à Marseille,495,21,1,"3 Avenue du general brissac, 13014 Marseille, France",appartement,24
3 chambres appartement de 69m² à Marseille,1300,69,3,"12 Boulevard du centre, 13012 Marseille, France",appartement,19
2 chambres appartement de 62m² à Marseille,899,62,2,"30 Rue De Forbin, 13002 Marseille, France",appartement,14
1 chambre appartement de 73m² à Marseille,1100,73,1,"18 Rue Augustin Fabre, 13006 Marseille, France",appartement,15
1 chambre appartement de 42m² à Marseille,750,42,1,"38b Rue michel gachet, 13007 Marseille, France",appartement,18
1 chambre appartement de 10m² à Marseille,356,10,1,"Vallon de Sugiton, 13009 Marseille, France",appartement,36
2 chambres appartement de 39m² à Marseille,555,39,2,"Marseille 6e Arrondissement, Bouches-du-Rhône, France",appartement,14
1 chambre de 62m² à Marseille,440,62,1,"93 Boulevard National, 13003 Marseille, France",chambre,7
2 chambres appartement de 35m² à Marseille,780,35,2,"Marseille, Bouches-du-Rhône, France",appartement,22
1 chambre appartement de 20m² à Marseille,609,20,1,"France Travail La Valentine, 10 Route de la Valentine, 13011 Marseille, France",appartement,30
1 chambre appartement de 30m² à Marseille,540,30,1,"13003 Marseille, France",appartement,18
1 chambre appartement de 18m² à Marseille,400,18,1,"131 Rue pierre doize, 13010 Marseille, France",appartement,22
1 chambre appartement de 17m² à Marseille,490,17,1,"33 Place jules guesde, 13002 Marseille, France",appartement,29
2 chambres appartement de 39m² à Marseille,570,39,2,"Marseille 5e Arrondissement, Bouches-du-Rhône, France",appartement,15
4 chambres appartement de 110m² à Marseille,695,110,4,"13000 Marseille, France",appartement,6
1 chambre appartement de 14m² à Marseille,410,14,1,"Police nationale, 87 Boulevard Mireille Lauze, 13010 Marseille, France",appartement,29
3 chambres appartement de 38m² à Marseille,729,38,3,"Môle de l'Abattoir, 13002 Marseille, France",appartement,19
1 chambre appartement de 12m² à Marseille,450,12,1,"13000 Marseille, France",appartement,38
1 chambre appartement de 26m² à Marseille,540,26,1,"Orange, 2 Rue Jules Ferry, 13331 Marseille, France",appartement,21
1 chambre appartement de 20m² à Marseille,470,20,1,"33 Rue vega, 13015 Marseille, France",appartement,24
1 chambre appartement de 89m² à Marseille,1625,89,1,"Rue Pascal, 13007 Marseille, France",appartement,18
2 chambres appartement de 34m² à Marseille,730,34,2,"12 Boulevard du centre, 13012 Marseille, France",appartement,21
2 chambres appartement de 67m² à Marseille,900,67,2,"128 Traverse montcault, 13014 Marseille, France",appartement,13
3 chambres appartement de 61m² à Marseille,701,61,3,"50 Boulevard Guigou, 13003 Marseille, France",appartement,11
3 chambres appartement de 53m² à Marseille,830,53,3,"Marseille, Bouches-du-Rhône, France",appartement,16
2 chambres appartement de 35m² à Marseille,685,35,2,"Marseille, Bouches-du-Rhône, France",appartement,20
3 chambres appartement de 57m² à Marseille,851,57,3,"Marseille, Bouches-du-Rhône, France",appartement,15
2 chambres appartement de 3919m² à Marseille,770,3919,2,"Môle de l'Abattoir, 13002 Marseille, France",appartement,0
1 chambre studio de 24m² à Marseille,657,24,1,"Boulevard de la Libération - Général de Monsabert, 13001 Marseille, France",studio,27
1 chambre appartement de 31m² à Marseille,490,31,1,"Parking 1 ere armee francaise--henry barnier ramifie, 13015 Marseille, France",appartement,16
1 chambre appartement de 16m² à Marseille,490,16,1,"10 Boulevard Bouès, 13003 Marseille, France",appartement,31
